2025-12-13 18:31:23 | INFO | train_base_models | [Loan_Terms] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_LightGBM_fold5.pkl
2025-12-13 18:31:23 | INFO | train_base_models | [Loan_Terms] [LightGBM] FINAL OOF AUC = 0.7030
2025-12-13 18:31:23 | INFO | train_base_models | 
==================== Group: Credit_Profile ====================
2025-12-13 18:31:23 | INFO | train_base_models | [Credit_Profile] X shape: (180488, 14), y shape: (180488,)
2025-12-13 18:31:23 | INFO | train_base_models | [Credit_Profile] ▶ Training model: XGBoost
2025-12-13 18:31:23 | INFO | train_base_models | [Credit_Profile] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_XGBoost_fold1.pkl
2025-12-13 18:31:23 | INFO | train_base_models | [Credit_Profile] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_XGBoost_fold2.pkl
2025-12-13 18:31:24 | INFO | train_base_models | [Credit_Profile] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_XGBoost_fold3.pkl
2025-12-13 18:31:24 | INFO | train_base_models | [Credit_Profile] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_XGBoost_fold4.pkl
2025-12-13 18:31:24 | INFO | train_base_models | [Credit_Profile] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_XGBoost_fold5.pkl
2025-12-13 18:31:24 | INFO | train_base_models | [Credit_Profile] [XGBoost] FINAL OOF AUC = 0.6302
2025-12-13 18:31:24 | INFO | train_base_models | [Credit_Profile] ▶ Training model: GBDT
2025-12-13 18:31:36 | INFO | train_base_models | [Credit_Profile] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_GBDT_fold1.pkl
2025-12-13 18:31:48 | INFO | train_base_models | [Credit_Profile] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_GBDT_fold2.pkl
2025-12-13 18:31:59 | INFO | train_base_models | [Credit_Profile] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_GBDT_fold3.pkl
2025-12-13 18:32:12 | INFO | train_base_models | [Credit_Profile] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_GBDT_fold4.pkl
2025-12-13 18:32:24 | INFO | train_base_models | [Credit_Profile] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_GBDT_fold5.pkl
2025-12-13 18:32:24 | INFO | train_base_models | [Credit_Profile] [GBDT] FINAL OOF AUC = 0.6294
2025-12-13 18:32:24 | INFO | train_base_models | [Credit_Profile] ▶ Training model: AdaBoost
2025-12-13 18:32:30 | INFO | train_base_models | [Credit_Profile] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_AdaBoost_fold1.pkl
2025-12-13 18:32:36 | INFO | train_base_models | [Credit_Profile] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_AdaBoost_fold2.pkl
2025-12-13 18:32:42 | INFO | train_base_models | [Credit_Profile] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_AdaBoost_fold3.pkl
2025-12-13 18:32:48 | INFO | train_base_models | [Credit_Profile] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_AdaBoost_fold4.pkl
2025-12-13 18:32:54 | INFO | train_base_models | [Credit_Profile] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_AdaBoost_fold5.pkl
2025-12-13 18:32:55 | INFO | train_base_models | [Credit_Profile] [AdaBoost] FINAL OOF AUC = 0.6083
2025-12-13 18:32:55 | INFO | train_base_models | [Credit_Profile] ▶ Training model: RandomForest
2025-12-13 18:32:56 | INFO | train_base_models | [Credit_Profile] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_RandomForest_fold1.pkl
2025-12-13 18:32:57 | INFO | train_base_models | [Credit_Profile] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_RandomForest_fold2.pkl
2025-12-13 18:32:59 | INFO | train_base_models | [Credit_Profile] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_RandomForest_fold3.pkl
2025-12-13 18:33:00 | INFO | train_base_models | [Credit_Profile] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_RandomForest_fold4.pkl
2025-12-13 18:33:02 | INFO | train_base_models | [Credit_Profile] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_RandomForest_fold5.pkl
2025-12-13 18:33:02 | INFO | train_base_models | [Credit_Profile] [RandomForest] FINAL OOF AUC = 0.6272
2025-12-13 18:33:02 | INFO | train_base_models | [Credit_Profile] ▶ Training model: LightGBM
2025-12-13 18:33:03 | INFO | train_base_models | [Credit_Profile] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_LightGBM_fold1.pkl
2025-12-13 18:33:03 | INFO | train_base_models | [Credit_Profile] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_LightGBM_fold2.pkl
2025-12-13 18:33:04 | INFO | train_base_models | [Credit_Profile] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_LightGBM_fold3.pkl
